,Unnamed: 0,Name,Link,Organization,Toll Free Number,Phone Number,Emails,Level of Study,Award Type,Purpose,Focus,Qualifications,Funds,Duration,Number of Awards,To Apply,Deadline,Contact,For more information,Criteria
650,650, Jack R. Gilstrap Scholarship,http://aptfoundation.kinsta.cloud, American Public Transportation Foundation 1300 I St. NW Ste. 1200 E Washington DC 20005,, (202)496-4803,, Bachelor's Degree Graduate Degree, Scholarship, To provide educational assistance to individuals in public transportation industry-related fields of study., Transportation., Applicants must be college sophomores (30 hours or more satisfactorily completed) juniors seniors or those seeking advanced degrees may apply for scholarships; enrolled in a fully accredited institution have and maintain at least a 2.0 GPA in course work that is relevant to the industry or required of a degree program and demonstrate a strong interest in entering the public transportation industry; all applicants must be sponsored by a member organization of the American public transportation association (APTA); any member may serve as a sponsor.,, Annual.,, Applications must be require the following materials: Essay (1000 words maximum); two (2) letters of recommendation (1 Letter for Renewing Scholars); statement of financial need: explaining the financial need of the applicant including any deficits in a financial aid package family income and personal need (personal need may also include special circumstances such as personal hardship or financial difficulty that contributes to the applicant’s financial need); (500 words maximum); school transcript documenting good academic standing; enclose documentation from your school verifying you are in good academic standing and that you are maintaining the required class load; verification of enrollment for the upcoming fall semester (letter from school or course schedule can also serve as proof of enrollment); copy of the fee schedule from the college/university for the academic year; signature of APTA sponsor., June 24.,, http://aptfoundation.kinsta.cloud, Selection shall be based on demonstrated interest in the public transportation industry as a career academic achievement essay content and quality need for financial assistance and involvement in extracurricular citizenship and leadership activities; selection will be made without regard to disability race color religion sex or ethnic origin; it is the intent of this program to provide equal opportunity and consideration to all qualified individuals.
651,651, Joe Francis Haircare Scholarship,http://www.joefrancis.com, Joe Francis Haircare Scholarship Foundation 8101 Homestead Ave. S Cottage Grove MN 55016,, (651)769-1757, contact@joefrancis.com, Bachelor's Degree, Scholarship, To provide support to deserving students who want to pursue their professional training in hairstyling., Cosmetology., Applicants must be actively enrolled in cosmetology school or planning to enroll in cosmetology/barber school., $1200, Annual., Varies., Applicants must complete the application form available online; must have a letter of recommendation from an employer instructor counselor or someone qualified to offer testimony of character., June 1., Kim Larson Phone: 651-769-1757; Email: contact@joefrancis.com., http://www.joefrancis.com, Recipient will be selected by the independent committee composed of individuals drawn from the professional beauty industry; selection is based on their potential financial need and commitment to a long-term career in cosmetology.
652,652, Joe Perdue Scholarship,http://cmaa.org, Club Management Association of America 1733 King St. Alexandria VA 22314,, (703)739-9500, cmaa@cmaa.org, Bachelor's Degree, Prize Scholarship, To support and enhance the life cycle of club managers professional development beginning at the university level and building throughout their career., Management., Candidates must be pursuing managerial careers in the private club industry; must have completed their freshman year of college and be enrolled for the full academic year in an accredited four-year institution and must have achieved and maintained a grade point average of at least 2.5 on a 4.0 scale or 4.5 on a 6.0 scale.,, Annual., Varies., Applicants must submit the online application form along with contact information; CMAA member ID# (if applicable); education information: current University/College name and address; major and minor (if applicable); cumulative GPA; any other colleges/universities and/or vocational/technical schools attended; kits of Extra-curricular activities; employment information; list of all positions held in the hospitality industry to date (to be filled in the online application); essay(500-1000 words); electronic copy of college transcript; 2 recommendations; current resume., June 1.,, http://cmaa.org, Applicants who are CMAA student chapter members are given additional points.
653,653, Kay Longcope Scholarship Program,http://www.nlgja.org, National Lesbian and Gay Journalists Association 2120 L St. NW Ste. 850 Washington DC 20037,, (202)588-9888, info@nlgja.org, Bachelor's Degree Graduate Degree, Scholarship, To support LGBTQ students who plan to have a career in journalism and are committed to furthering NLGJA's mission of fair and accurate coverage of the LGBTQ community., Journalism., Applicants must be an LGBTQ individual of color planning to pursue a career in journalism; must be current or incoming undergraduate students enrolled in a U.S. community college or four-year university or current or incoming graduate students enrolled in an accredited journalism or mass communications field; must demonstrate an awareness of the issues facing the LGBTQ community and the importance of fair and accurate news coverage., $3000, Annual.,, Applicants must submit a completed application form along with a one page resume; five work samples; official transcript provided in a sealed envelope; a copy of a letter of acceptance to a community college or four-year university (high school seniors); three letters of recommendation (from a teacher or professor - high school students may obtain letters from counselors and/or the principal); and an autobiography in the third person and written as a news story describing the commitment and passion for journalism and career goals (maximum of 1 000 words in 11-point typed and double spaced)., June 3., Email: awards@nlgja.org; URL: www.nlgja.org/scholarships/., http://www.nlgja.org, Selection is based on an applicant's journalistic and scholastic ability.
654,654, Leroy F. Aarons Scholarship Award,http://www.nlgja.org, National Lesbian and Gay Journalists Association 2120 L St. NW Ste. 850 Washington DC 20037,, (202)588-9888, info@nlgja.org, Bachelor's Degree Graduate Degree, Scholarship, To support LGBTQ students who plan to have a career in journalism and are committed to furthering NLGJA's mission of fair and accurate coverage of the LGBTQ community., Journalism., Applicants must be current or incoming undergrad students enrolled in a U.S. community college or four-year university or current or incoming graduate students enrolled in an accredited journalism or mass communications field; must be NLGJA members in good standing; must demonstrate an awareness of the issues facing the LGBTQ community and the importance of fair and accurate news coverage., $5000, Annual., 1., Applicants must submit a completed application form along with a one page resume; five work samples; official transcript provided in a sealed envelope; a copy of a letter of acceptance to a community college or four-year university (high school seniors); three letters of recommendation (from a teacher or professor - high school students may obtain letters from counselors and/or the principal); and an autobiography in the third person and written as a news story describing the commitment and passion for journalism and career goals (maximum of 1000 words in 11-point typed and double spaced)., June 5., Email: awards@nlgja.org; URL: www.nlgja.org/resources/aarons/., http://www.nlgja.org, Selection is based on an applicant's journalistic and scholastic ability. For undergraduates a declared major in journalism and/or communications is desirable but not required.
655,655, Louis T. Klauder Scholarship,http://aptfoundation.kinsta.cloud, American Public Transportation Foundation 1300 I St. NW Ste. 1200 E Washington DC 20005,, (202)496-4803,, Bachelor's Degree Graduate Degree, Scholarship, To provide educational assistance to individuals in public transportation industry-related fields of study., Engineering Electrical; Engineering Mechanical; Transportation., Applicants must be college sophomores (30 hours or more satisfactorily completed) juniors seniors or those seeking advanced degrees may apply for scholarships. Enrolled in a fully accredited institution have and maintain at least a 2.0 GPA in course work that is relevant to the industry or required of a degree program and demonstrate a strong interest in entering the public transportation industry. All applicants must be sponsored by a member organization of the American Public Transportation Association (APTA). Any member may serve as a sponsor.,, Annual., Varies., Applications require the following materials: Essay (1000 words maximum); Two (2) letters of recommendation (1 Letter for Renewing Scholars); Statement of Financial Need: explaining the financial need of the applicant including any deficits in a financial aid package family income and personal need (personal need may also include special circumstances such as personal hardship or financial difficulty that contributes to the applicant’s financial need). (500 words maximum); School transcript documenting good academic standing: Enclose documentation from your school verifying you are in good academic standing and that you are maintaining the required class load. Verification of enrollment for the upcoming fall semester (letter from school or course schedule can also serve as proof of enrollment); Copy of the fee schedule from the college/university for the academic year. Signature of APTA sponsor., June 14.,, http://aptfoundation.kinsta.cloud, Selection shall be based on demonstrated interest in the public transportation industry as a career academic achievement essay content and quality need for financial assistance and involvement in extracurricular citizenship and leadership activities.
656,656, Lucidpress Scholarship,http://lucid.co, Lucid Software Inc. 10355 S Jordan Gateway Ste. 150 South Jordan UT 84095, 844-465-8243,, support@lucid.co, Bachelor's Degree Graduate Degree, Scholarship, To provide financial support to creative college students., General studies/Field of study not specified., Current and incoming freshmen sophomores juniors seniors and graduate students., $1000,, 1.,, June 17.,, http://lucid.co, Creativity - make your submission stand out.
657,657, Martha Julian Memorial Scholarship,http://www.alamogordomusictheatre.org, Alamogordo Music Theatre PO Box 266 Alamogordo NM 88311,,, alamogordomusictheatre.board@gmail.com, Bachelor's Degree, Scholarship, To help students pay for their education., Arts., Applicants must be a graduating Senior or continuing college student; must have a minimum of 3.0 GPA (on a 4.0 scale); must be a resident of New Mexico with additional preference given to Otero County and Southern New Mexico students.,, Annual.,, Applicants must complete the application form provided by Alamogordo and submit the application to the AMT office along with a copy of high school transcript., June 15., AMT PO Box 266 Alamogordo NM 88311., http://www.alamogordomusictheatre.org, Selection will based on the committee criteria.
658,658, MASNA Student Scholarships,http://masna.org, Marine Aquarium Societies of North America PO Box 105603 Atlanta GA 30348-5603,,,, Bachelor's Degree Graduate Degree, Scholarship, To support those undergraduate and graduate students from the various colleges and universities in U.S. as well as to assist each of the chosen applicants in attending MACNA., Biology Marine., Applicants must be current/entering undergraduate or graduate students at an accredited college or university; have declared a major/focus or intent to declare a major/focus in one of the marine science disciplines; has a GPA above 2.5 / 4.0., $4000, Annual., 2., Applications can be submitted online., June 17., Email: Scholarship@MASNA.org., http://masna.org, Selection will be based upon the students' academic history and the contributions and demonstrated commitment to the marine aquarium hobby.
659,659, Momeni Foundation Scholastic Achievement Scholarships,http://momenifoundation.org, Momeni Foundation PO Box 322 Clearwater FL 33757,, (727)433-2133, momenifoundation@aol.com, Bachelor's Degree, Scholarship, To provide scholarships to students of Iranian descent., General studies/Field of study not specified., Applicant must be of verifiable Iranian descent; graduating from high school and planning to be enrolled full-time in an accredited college or university; must have a minimum 3.5 GPA., $1000, Annual., 3., Mail application resume or list of extracurricular activities community leadership or volunteerism membership in clubs or organizations and any other evidence of outstanding achievement; a short narrative (less than 500 words) describing applicant's goals and plans and what has motivated them to follow those goals and plans., June 30., URL: momenifoundation.org/blog1/applications/., http://momenifoundation.org, Selection will be based on merit.
660,660, NACA Multicultural Professional Development Grant,http://www.naca.org, National Association for Campus Activities 13 Harbison Way Columbia SC 29212-3401,, (803)732-6222,, Bachelor's Degree Graduate Degree Professional Development, Grant, To provide economic assistance to qualified under-represented programmers allowing them to attend NACA-sponsored events., General studies/Field of study not specified., Applicant must be a member of the African-American Latina/Latino Native American Asian-American or Pacific Islander ethic minorities; must be a U.S. Citizen; must be current undergraduate students graduate students or school staff members.,, Annual., 4., Applicant must complete the online application and submit with one letter of recommendation from someone well acquainted with the applicant (letter should address applicant's involvement in student activities and potential in the field and also affirm applicant's ethnic minority status financial need and that applicant will be in the campus activities field at least one year following the program for which a scholarship is being sought). All materials must be submitted online; only the first 75 qualified applicants will be considered., June 30., Email: scholarships@naca.org; URL: www.naca.org/Foundation/pages/scholarships.aspx., http://www.naca.org,
661,661, Newcomer Supply Student Scholarship,http://www.nsh.org/home, National Society for Histotechnology 3545 Ellicott Mills Dr. Ellicott City MD 21043,, (443)535-4060, histo@nsh.org, Bachelor's Degree, Scholarship, To promote the study of histotechnology., Histology., Applicants must be NSH student members enrolled in a NAACLS approved histology program., $500, Annual., 1., Applicants must complete online application and submit with supporting documentation. Application is available at www.nsh.org/learn/scholarships/student-scholarship., June 4.,, http://www.nsh.org/home, Selection will be according to their academic ability and financial need.
662,662, Newfangled Networks $1,http://www.newfanglednetworks.com, Newfangled Networks 27429 Emery Rd. Cleveland OH 44128,,, support@newfanglednetworks.com, Bachelor's Degree Graduate Degree, Scholarship, To celebrate and support outstanding students who strive for excellence., General studies/Field of study not specified., Applicants must be legal residents of the U.S. or hold valid student visas; be currently enrolled in or accepted to full-time undergraduate or graduate programs; and be at least 18 years old., $1000, Annual., 1.," Applicant must write a 300-word essay on the topic: """"Live Online Classes vs Offline Classes""""; essay must be emailed to as an attached Word document along with applicant's full name address phone number school name and date of birth.""", June 20., Email: scholarships@newfanglednetworks.com; URL: www.newfang lednetworks.com/blogs/news/newfangled-networks-1000-scholarship., http://www.newfanglednetworks.com, Selection is based on the submitted essays.
663,663, NHS State Scholarships,http://www.nhs.us, National Honor Society 1904 Association Dr. Reston VA 20191-1537,, (703)860-0200, membership@nhs.us nhs@nhs.us, Bachelor's Degree, Scholarship, To provide recognition and support for high school seniors who are members of National Honor Societies and able to demonstrate outstanding character scholarship service and leadership., General studies/Field of study not specified., Applicants must be high school seniors who are members in good standing of an affiliated NHS chapter., $1000 $1500, Annual., 600., Application is via nomination. Local high school chapter officials may nominate eligible students for the program., June 1.,, http://www.nhs.us, Selection shall be based on the credentials of the applicants/nominees.
664,664, Out to Innovate Scholarships - BHE Foundation Scholarships,http://www.noglstp.org, National Organization of Gay and Lesbian Scientists and Technical PO Box 91803 Pasadena CA 91109,, (626)791-7689,, Associate Degree Bachelor's Degree Graduate Degree, Scholarship, To support LGBTQ+ students currently enrolled in Science Technology Engineering or Mathematics (STEM)., Engineering; Mathematics and mathematical sciences; Science; Technology., Applicant must identify as a member of the LGBTQ+ community; must be an active supporter of and participant in programs or organizations that promote LGBTQ+ inclusion and visibility; must have successfully completed a minimum of two years of post-high school education at an accredited U.S. college or university and be eligible for the fall term registration at an accredited U.S. college or university; must have a minimum 2.75 GPA on a 4.0 scale; must have a declared major in Chemical Engineering Civil Engineering Electrical Engineering or Mechanical Engineering (or equivalent at their institution).,, Annual., Varies., Applications must be submitted online. Applications submitted via email will not be evaluated. Incomplete or late application submissions will not be evaluated., June 4., NOGLSTP Scholarship Program Coordinator Email: scholarships@noglstp.org; URL: www.noglstp.org/programs-projects/scholarships/., http://www.noglstp.org, Preference will be given to students enrolled at an institution or with a place of residence within 60 miles of the following locations: Portland OR; Salt Lake City UT; Las Vegas NV; Reno NV; Omaha NE; Des Moines IA; Richmond VA; Bridgeport WV Imperial County CA Lusby MD; Minneapolis MN
665,665, Outreach Safe Water Scholarship,http://www.isawwa.org, Illinois Section of the American Water Works Association 545 S Randall Rd. Saint Charles IL 60174, 866-521-3595,,, Bachelor's Degree Graduate Degree Vocational, Scholarship, To support the general public on the essential functions and importance of the water industry the water cycle and water treatment and career paths in the water industry., Water resources; Water supply industry., Applicants must be enrolled or accepted into a water-related secondary continuing-education or enrichment program for the academic year. Accepted programs include water system operator training programs water-related technical school community college four-year college Master's and Doctoral programs., $5000, Annual.,, Application must be completed online at: www.isawwa.org/page/SafeWaterScholarshipApp/., June 30.,, http://www.isawwa.org,
666,666, Parsons Brinckerhoff / Jim Lammie Scholarship,http://aptfoundation.kinsta.cloud, American Public Transportation Foundation 1300 I St. NW Ste. 1200 E Washington DC 20005,, (202)496-4803,, Bachelor's Degree Graduate Degree, Scholarship, To provide educational assistance to individuals in public transportation industry-related fields of study., Transportation., Applicants must be college sophomores (30 hours or more satisfactorily completed) juniors seniors or those seeking advanced degrees may apply for scholarships; enrolled in a fully accredited institution have and maintain at least a 2.0 GPA in course work that is relevant to the industry or required of a degree program and demonstrate a strong interest in entering the public transportation industry; all applicants must be sponsored by a member organization of the American Public Transportation Association (APTA); any member may serve as a sponsor.,, Annual., Varies., Applications require the following materials: essay (1000 words maximum); two (2) letters of recommendation (1 letter for renewing scholars); statement of financial need: explaining the financial need of the applicant including any deficits in a financial aid package family income and personal need (personal need may also include special circumstances such as personal hardship or financial difficulty that contributes to the applicant’s financial need); (500 words maximum); school transcript documenting good academic standing: enclose documentation from your school verifying you are in good academic standing and that you are maintaining the required class load verification of enrollment for the upcoming fall semester (letter from school or course schedule can also serve as proof of enrollment); copy of the fee schedule from the college/university for the academic year; signature of APTA sponsor., June 24.,, http://aptfoundation.kinsta.cloud, Selection shall be based on demonstrated interest in the public transportation industry as a career academic achievement essay content and quality need for financial assistance and involvement in extracurricular citizenship and leadership activities.
667,667, PennyGeeks.com Car Insurance Essay Scholarship,http://pennygeeks.com, PennyGeeks.com 316 California Ave. No. 865 Reno NV 89509, 855-587-2494, (757)447-3950, info@pennygeeks.com, Bachelor's Degree, Scholarship, To provide financial support to U.S. students attending an American college or university., General studies/Field of study not specified., Applicant must be a U.S. student who is currently enrolled in or has been accepted to a college or university in the United States., $500, Semiannual., 1 per semester., Applicant must submit an essay (700 to 1200 words) on one of the following topics: 1. How will driverless cars impact the cost of auto insurance?; 2. How can college students save money on auto insurance?; 3. How can recent college graduates save money on car insurance? Applicant should include their city and state of residence., June 15 (for the Fall Semester scholarship)., Email: scholarship@pennygeeks.com., http://pennygeeks.com, Selection will be based on the submitted essay.
668,668, Petro Law Firm Scholarship Contest,http://petrolawfirm.com, Petro Law Firm 2260 Rocky Ridge Rd. Ste. C Birmingham AL 35216,, (256)533-5000,, Bachelor's Degree Graduate Degree, Scholarship, To provide financial aid to a college students; encourage students to explore the role personal injury lawyers play in minimizing hazards helping those injured and encouraging people everywhere to think about consumer safety; and inspire students to pursue a career in any legal field., Law., Applicant must be a high school senior or college freshman and a U.S. citizen or permanent resident attending college or planning to attend college in the United States in the field of law., $1000,, 1.," Applicant must record a video (one to two minutes long in plain English) explaining how lawyers make the world a safer place. Video must be published to applicant's YouTube channel with the title """"Petro Law Firm Scholarship Contest"""" and include this link in the description: www.petrolawfirm.com/scholarship-for-college-students/. Instead of a video essay applicant may submit a 1000 to 1500 word essay on the same subject and place on the webpage.""", June 1.,, http://petrolawfirm.com, Selection is based on the best video or written essay submitted.
669,669, Pfizer Soozie Courter Hemophilia Scholarship Program,http://www.hemophilia.org, National Hemophilia Foundation 7 Penn Plz. Ste. 1204 New York NY 10001,, (212)328-3700, mrice@hemophilia.org, Bachelor's Degree Graduate Degree Vocational, Scholarship, To provide educational assistance to people with hemophilia and their families., General studies/Field of study not specified., Applicants must have been diagnosed with hemophilia A or B; be U.S. residents attending a school in the U.S.; and meet one of the following educational, $2500 $4000, Annual., 5 graduates; 10 undergraduates., Applicants should include essay completed release form two personal recommendations one healthcare provider recommendation and all original transcript documents., June 11., URL: www.hemophilia.org/commun ity-resources/financial-assistance/scholarships., http://www.hemophilia.org, Recipients are selected based on the best combination of a creative and persuasive essay excellent recommendations and superior academic standing.
670,670, Professional Woman's Magazine Scholarship Opportunity,http://professionalwomanmag.com, Professional Woman's Magazine 18 Technology Dr. Ste. 170 Irvine CA 92618, 888-562-9662,,, Bachelor's Degree, Scholarship, To promote the advancement of multicultural diverse women in all aspects of business and employment to ensure equal opportunity., General studies/Field of study not specified., Applicant must be directly from corporations and organizations rather than solely from competitive national pools – thereby maximizing the number of opportunities students have to earn funding for their education. Each month IOScholarships adds hundreds of new curated scholarships., $500, Annual., 1., Applicant must submit a application in form; essay., June 6.,, http://professionalwomanmag.com, Selection is based on essay submitted.
671,671, Prospanica Foundation Scholarships,http://www.prospanica.org, Prospanica 2711 LBJ Fwy. Ste. 800 Dallas TX 75234, 866-276-2140,, info@prospanica.org, Bachelor's Degree Graduate Degree, Scholarship, To help Hispanic/Latino undergraduate and graduate students who want to achieve their full educational potential and make meaningful contributions to society., Business., Applicants must be a U.S. citizen legal permanent resident or DACA recipient; be of Hispanic/Latino heritage; have a minimum grade point average of 3.0 on a 4.0 scale (or the equivalent) or have a minimum 2.75 GPA on a 4.0 scale (or the equivalent) in combination with work experience during that time; be enrolled or planning to enroll in a postgraduate (Master’s or PhD) or undergraduate program in an accredited university business school (in the United States or Puerto Rico); must have a Prospanica membership. Applicants for the undergraduate awards must currently be sophomores or higher., $5000, Annual.,, Application form and details are available online at www.prospanica.org/scholarships., June 16., Email: Scholarships@prospanica.org., http://www.prospanica.org, Selection is based on academic achievement work experience financial need personal statement of goals and aspirations community service letters of recommendation and NSHMBA ambassadorship.
672,672, R.G. and Ruth Crossno Scholarship,http://www.easttennesseefoundation.org, East Tennessee Foundation 520 W Summit Hill Dr. Ste. 1101 Knoxville TN 37902, 877-524-1223, (865)524-1223, etf@etf.org, Bachelor's Degree, Scholarship, To benefit graduating seniors of Anderson County High School who wish to pursue an advanced degree., General studies/Field of study not specified.,, $1500, Annual; Up to 4 years.,, Applicants must check the application process online; must include a Letter of Recommendation., June 1., Beth Heller Vice President for Scholarship Programs; Email: bheller@etf.org., http://www.easttennesseefoundation.org,
673,673, Rama Scholarships for the American Dream,http://www.ahlafoundation.org, American Hotel & Lodging Educational Foundation 1250 I St. NW Ste. 1100 Washington DC 20005-3931,, (202)289-3180, ahleffoundation@ahla.com, Bachelor's Degree Graduate Degree, Scholarship, To provide educational assistance for lodging management students., Hotel institutional and restaurant management., Applicants must be enrolled in at least nine credit hours for the upcoming Fall and Spring semesters or just the Fall semester if graduating in December; must be undergraduate or graduate hospitality management majors; must have a minimum 2.5 GPA; and must be U.S. citizens or permanent U.S. residents; must be attending a participating university (see website for details)., $500 $3000, Annual.,, Applicants must complete all the required sections of the application., June 30., URL: www.ahlafoundation.org/scholarships/academic-scholarshi ps/ahlaf-school-nominated-scholarships., http://www.ahlafoundation.org, Applicants who are students of Asian-Indian descent and other minority groups as well as JHM employees and their dependents will be given preference.
674,674, Reba Malone Scholarship,http://aptfoundation.kinsta.cloud, American Public Transportation Foundation 1300 I St. NW Ste. 1200 E Washington DC 20005,, (202)496-4803,, Bachelor's Degree Graduate Degree, Scholarship, To provide educational assistance to individuals in transit or transportation marketing/ communications., Marketing and distribution; Transportation., Applicants must be enrolled in a fully accredited institution; have and maintain at least a 3.0 GPA (B) in course works that are relevant to the industry or required of a degree program; be either employed by or demonstrate a strong interest in entering the public transportation industry; and be college sophomores (30 hours or more satisfactorily completed) juniors seniors or seeking advanced degree(s).,, Annual., Varies., Applications require the following materials: Essay (1000 words maximum); Two (2) letters of recommendation (1 Letter for Renewing Scholars); Statement of Financial Need: explaining the financial need of the applicant including any deficits in a financial aid package family income and personal need (personal need may also include special circumstances such as personal hardship or financial difficulty that contributes to the applicant’s financial need). (500 words maximum); School transcript documenting good academic standing: Enclose documentation from your school verifying you are in good academic standing and that you are maintaining the required class load. Verification of enrollment for the upcoming fall semester (letter from school or course schedule can also serve as proof of enrollment); Copy of the fee schedule from the college/university for the academic year. Signature of APTA sponsor., June 14.,, http://aptfoundation.kinsta.cloud, Selection shall be based on demonstrated interest in the public transportation industry as a career academic achievement essay content and quality need for financial assistance and involvement in extracurricular citizenship and leadership activities.
675,675, Richard J. Bouchard - AECOM Scholarship,http://aptfoundation.kinsta.cloud, American Public Transportation Foundation 1300 I St. NW Ste. 1200 E Washington DC 20005,, (202)496-4803,, Bachelor's Degree Graduate Degree, Scholarship, To provide educational assistance to individuals in public transportation planning and development., Transportation., Applicants must be enrolled in a fully accredited institution; have and maintain at least a 3.0 GPA (B) in course works that are relevant to the industry or required of a degree program; be either employed by or demonstrate a strong interest in entering the public transportation industry; and be college sophomores (30 hours or more satisfactorily completed) juniors seniors or seeking advanced degree(s).,, Annual.,, Applications require the following materials: Essay (1000 words maximum); Two (2) letters of recommendation (1 Letter for Renewing Scholars); Statement of Financial Need: explaining the financial need of the applicant including any deficits in a financial aid package family income and personal need (personal need may also include special circumstances such as personal hardship or financial difficulty that contributes to the applicant’s financial need). (500 words maximum); School transcript documenting good academic standing: Enclose documentation from your school verifying you are in good academic standing and that you are maintaining the required class load. Verification of enrollment for the upcoming fall semester (letter from school or course schedule can also serve as proof of enrollment); Copy of the fee schedule from the college/university for the academic year. Signature of APTA sponsor., June 14.,, http://aptfoundation.kinsta.cloud, Selection shall be based on demonstrated interest in the public transportation industry as a career academic achievement essay content and quality need for financial assistance and involvement in extracurricular citizenship and leadership activities.
676,676, Richard R. Tufenkian Scholarships,http://aefweb.org, Armenian Educational Foundation 600 W Broadway Ste. 130 Glendale CA 91204,, (818)242-4154, aef@aefweb.org, Bachelor's Degree, Scholarship, To provide financial support to qualified students of Armenian parentage., General studies/Field of study not specified., Applicants must have father and/or mother and/or grandparent of Armenian origin; must have a minimum 3.0 GPA; must have proof of acceptance to an accredited U.S. university or college for the upcoming fall semester., $3000, Annual., 3., Applicants should include: proof of acceptance to an accredited U.S. university/college; first 2 pages of income tax returns for previous year; first 2 pages of parent’s tax returns for previous year; sealed official transcripts; current academic reference letter; current reference letter attesting to Armenian community service and a one-page double spaced personal statement. Application is available online., June 30., URL: aefweb.org/richard-r-tufenkian-scholarship; Email: aef@aefweb.org., http://aefweb.org, Selection will be based on superior academic records.
677,677, Sakura Finetek Student Scholarship,http://www.nsh.org/home, National Society for Histotechnology 3545 Ellicott Mills Dr. Ellicott City MD 21043,, (443)535-4060, histo@nsh.org, Bachelor's Degree, Scholarship, To promote the study of histotechnology., Histology., Applicants must be a student member of NSH., $500, Annual.,, Applicants must complete online application and submit with supporting documentation. Application is available at www.nsh.org/learn/scholarships/student-scholarship., June 4.,, http://www.nsh.org/home, Selection will be based on academic ability and financial need.
678,678, SAPA Professional Certification Exam Scholarship,http://www.saparalegal.org, San Antonio Paralegal Association PO Box 90037 San Antonio TX 78209,,,, Bachelor's Degree Professional Development, Scholarship, To promote excellence education ethical conduct and the enhancement of the paralegal profession., Paralegal studies., Applicants must be current voting associate or student members of SAPA. An applicant may apply for the scholarship in more than one category.,, Annual.,, Applicant must provide a written essay on a topic listed in Section VII of the application (two-pages doubled-spaced)., June 8., SAPA's Education Director; Email: educationdirector@saparalegal.org., http://www.saparalegal.org, Selection will be based on the committee's criteria.
679,679, Scholarship for 1800CPAP,http://www.1800cpap.com, 1800CPAP.com Landen Sq. 2908 US 22-3 Maineville OH 45039, 800-274-1366, (513)229-0952, products@1800cpap.com support@1800cpap.com, Bachelor's Degree Graduate Degree, Scholarship, To support individuals who want to pursue their dreams through education., General studies/Field of study not specified., Must be 18 years of age or older; a legal resident of the United States or hold a valid student visa; currently enrolled in or accepted to a full-time undergraduate or graduate program in an accredited U.S. university college or school., $1000, Annual., 1., Write a 300-word essay answering the question: Should health workers and providers be allowed to refuse medical treatment? Send essay as an email attachment along with full name address phone number school name and date of birth., June 30., Email: scholarships@1800cpap.com., http://www.1800cpap.com, Quality of essay.
680,680, Shamans Market $1,http://www.shamansmarket.com, Shamans Market 1250 Rankin Dr. Ste. A Troy MI 48083, 866-929-2964,,, Bachelor's Degree Graduate Degree, Scholarship, To support individuals who want to pursue their dreams through education., General studies/Field of study not specified., Applicant must be BIPOC and/or a member of the LGBTQ+ community; must be a legal resident of the United States or hold a valid student visa; must be currently enrolled or accepted to a full-time undergraduate or graduate program in an accredited U.S. college university or other post-secondary institution; must be at least 18 years old., $1000, Annual., 1.," Applicant must write a 300-word essay answering the question “What daily actions do you take that show your love for the environment around you?” Essay must be submitted via email as an attached Word document along with the applicant’s full name address phone number school name and date of birth. Attachment file name and subject line should read """"Shamans Market $1000 Scholarship/Full Name.""""""", June 20., URL: www.shamansmarket.com/pages/shamans-market-1000-scholarship; Email: scholarship@shamansmarket.com., http://www.shamansmarket.com, Selection will be based on the submitted essay.
681,681, Sharon D. Banks Memorial Undergraduate Scholarship,http://www.wtsinternational.org, Women's Transportation Seminar 1501 M St. NW Ste. 240 Washington DC 20005,,,, Bachelor's Degree, Scholarship, To introduce cultural and organizational changes aimed at motivating the public transit work force., Transportation., Applicants selected by local chapters will be submitted to WTS International. GPA of 3.0 or higher. Currently enrolled in an undergraduate degree program in a transportation-related field such as transportation engineering planning finance or logistics. Plans to pursue a career in a transportation-related field., $3500, Annual.,, Applicants must submit electronically all application materials including forms letters transcripts., June 12., Tracey Slochover Attn: Scholarship 605 Third Ave. 3rd Floor New York NY 10158; Email: wtsgnyscholarship@gmail.com., http://www.wtsinternational.org, Recipients are selected based on specific transportation goals academic record transportation-related activities or job skills.
682,682, Sharon Kreikemeier Memorial Scholarships,http://hsrodeo-nebraska.com, Nebraska High School Rodeo Association c/o Brandi Pokorny Secretary 83940 493 Ave. Bartlett NE 68622,, (402)336-7730, pokornyrope@gmail.com, Bachelor's Degree, Scholarship, To provide financial assistance to students in continuing their education., General studies/Field of study not specified., Applicants must be enrolled in Nebraska High School., $500,,, Applicants must complete the application form., June 15.,, http://hsrodeo-nebraska.com, Selection will be based on academic performance.
683,683, Stand Watie Scholarship,http://scv.org, Sons of Confederate Veterans PO Box 59 Columbia TN 38402, 800-380-1896,,, Bachelor's Degree, Scholarship, To encourage educational pursuits by providing educational assistance., General studies/Field of study not specified., Applicant must be a member in good standing in one of these organizations: Sons of Confederate Veterans Children of the Confederacy or United Daughters of the Confederacy; must be a student at an accredited college or university; must be an undergraduate classified as a sophomore junior or senior; must be enrolled at accredited college university or post secondary vocational/technical schools within the United States., $1000, Annual., 1., Application package includes a personal letter of application; proof of membership in one of the organizations named; a complete personal data; three letters of recommendation; and copies of transcripts diplomas and/or certificates., June 15, Send materials to Chair Vernon R. Padgett Ph. D. Stand Watie Scholarship Fund 5412 Citrus Grove Pl Whittier California 90601-2311 Email: vp09@earthlink.net., http://scv.org, Selection committee is based on information provided in the application letter and associated documents.
